2026-01-04 20:59:05 | INFO | backend.app.main | Starting up: init DB and bootstrap admin if needed
2026-01-04 20:59:05 | INFO | backend.app.db.init_db | Created bootstrap admin: admin@example.local
2026-01-04 20:59:16 | INFO | request | GET / -> 200 (25.2 ms)
2026-01-04 20:59:16 | INFO | request | GET /assets/styles.css -> 200 (2.4 ms)
2026-01-04 20:59:16 | INFO | request | GET /assets/app.js -> 200 (3.1 ms)
2026-01-04 20:59:16 | INFO | request | GET /assets/state.js -> 200 (2.7 ms)
2026-01-04 20:59:16 | INFO | request | GET /assets/api.js -> 200 (4.4 ms)
2026-01-04 20:59:16 | INFO | request | GET /assets/ui.js -> 200 (3.6 ms)
2026-01-04 20:59:16 | INFO | request | GET /assets/router.js -> 200 (4.4 ms)
2026-01-04 20:59:16 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:16 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:16 | INFO | request | GET /favicon.ico -> 404 (0.3 ms)
2026-01-04 20:59:16 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:16 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:16 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:16 | INFO | request | GET / -> 200 (0.9 ms)
2026-01-04 20:59:16 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:16 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:16 | INFO | request | GET /api/me -> 401 (0.7 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.3 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.4 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.4 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.4 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.7 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.7 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (28.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.4 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:17 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.7 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.3 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.7 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.7 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.7 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.8 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.5 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.1 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.3 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.2 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (1.0 ms)
2026-01-04 20:59:18 | INFO | request | GET /api/me -> 401 (0.9 ms)
